Ticker,BH,MDD,R2,Slope,AC5,Align,HitUp,HitDn,UDgap,nUp,nDn,Name,Sector,MCap,MomGap,HoldFit,TimingEdge,Type,Lean,종목구분,섹터구분,구획,추세성,방향,유형3,섹터성격,종목성격,셀4,섹터medR2,추세타이밍_정밀
111770,75.0791974656811,-24.38775510204082,0.6864666238557534,0.0020509320622763,0.1806093414776294,0.3222222222222222,0.3636363636363636,0.711864406779661,-3.5764011386313244,121,59,영원무역,생활.의류,35804,-34.822804314329744,0.2402301830442647,0.18068813773041,혼합형,0.0595420453138546,홀드,타이밍,타이밍-홀드,타이밍형,우상향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.3528,False
128940,52.78810408921933,-34.34504792332268,0.7542435967205894,0.0027581248536454,0.080834329593969,0.4944444444444444,0.5307692307692308,0.56,-0.5240415752859606,130,50,한미약품,생활.제약,52653,-2.923076923076928,-0.0559492689864065,-0.7504935396606814,저신호(애매),0.6945442706742749,홀드,타이밍,타이밍-홀드,추세형,우상향,추세형-우상향,타이밍,추세,타이밍-추세,0.6458,False
131290,559.7560975609756,-24.139344262295083,0.8491475821264083,0.006502064386815,0.0688584806699116,0.6637931034482759,0.7317073170731707,0.5,7.570123108140203,164,68,티에스이,반도체장비,28760,23.17073170731707,1.1475737238847563,-0.4142651961276383,홀드형(추세추종),1.5618389200123943,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8806,False
131970,591.699604743083,-36.82272488164124,0.9073666860802576,0.0067815336863495,-0.0977085098051213,0.6069651741293532,0.625,0.7777777777777778,-14.62287852730151,192,9,두산테스나,반도체장비,29416,-15.27777777777778,0.824716196415551,0.3261080167442066,혼합형,0.4986081796713444,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8806,False
138040,-12.248186946011286,-29.68536251709987,0.0412760083962868,-0.0001526082771362,-0.0639638858371416,0.2916666666666667,0.2622950819672131,0.6746987951807228,-5.013366035899802,61,83,메리츠금융지주,금융.보험,177388,-41.24037132135098,-0.8367655317250144,1.1777367774260783,타이밍형(기술분석유효),-2.0145023091510925,타이밍,타이밍,타이밍-타이밍,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.5857,False
138930,70.72463768115942,-28.34437086092715,0.7233842643523287,0.0018527939832501,0.1924303371139283,0.5028248587570622,0.5813953488372093,0.7083333333333334,-1.7045958654955171,129,48,BNK금융지주,금융.은행,52197,-12.693798449612403,0.1409616096776896,-0.4356065746344303,홀드형(추세추종),0.5765681843121199,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.754,False
139130,72.17898832684826,-24.80369515011548,0.7766846556210861,0.0018763580794979,0.2846387703574536,0.4858757062146893,0.5524475524475524,0.7941176470588235,-3.665930632960401,143,34,iM금융지주,금융.증권,29426,-24.16700946112711,0.3288401294918637,-0.1308891245638027,홀드형(추세추종),0.4597292540556664,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8083,False
141080,23.04761904761905,-45.43325526932084,0.5842242685037408,0.0019366993969809,-0.3267356705863244,0.4759036144578313,0.5185185185185185,0.7096774193548387,-11.33857863788803,135,31,리가켐바이오,바이오,49902,-19.115890083632024,-0.6846633413153316,0.5498054125783645,타이밍형(기술분석유효),-1.234468753893696,타이밍,타이밍,타이밍-타이밍,타이밍형,우상향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.5401,False
145020,-33.10533515731874,-44.845360824742265,0.5649729598820777,-0.0016015436344634,-0.2190447219690141,0.49375,0.3253012048192771,0.3246753246753247,0.4548141337186395,83,77,휴젤,생활.화장,30206,0.0625880143952428,-0.7689427524579457,-0.588377027357569,저신호(애매),-0.1805657251003767,타이밍,타이밍,타이밍-타이밍,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.565,False
161390,73.91304347826086,-31.488801054018445,0.7242995617836745,0.0023303980673671,0.0462934568475578,0.4335260115606936,0.4537037037037037,0.6,-2.798413235677205,108,65,한국타이어앤테크놀로지,자동차,88075,-14.629629629629626,0.0379692410013404,-0.3197173133982979,홀드형(추세추종),0.3576865543996383,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.7938,False
